droplet,t,x,x_rec,x_adv
1,6.4,3.204839636795817,1.3632162661737524,4.990757855822551
1,6.405,3.2614616944167163,1.5018484288354899,5.013863216266174
1,6.41,3.3259035016383405,1.5018484288354899,5.06007393715342
1,6.415,3.3842308004604353,1.5480591497227358,5.152495378927911
1,6.42,3.4232757595760774,1.5711645101663587,5.1987060998151575
1,6.425,3.45648208677096,1.5942698706099816,5.22181146025878
1,6.43,3.478827093602802,1.6173752310536045,5.268022181146026
1,6.435,3.49611372025772,1.6404805914972274,5.291127541589649
1,6.44,3.509867747594997,1.6635859519408505,5.314232902033272
1,6.445,3.5265369012115806,1.6635859519408505,5.314232902033272
1,6.45,3.5431246113036323,1.6866913123844733,5.337338262476895
1,6.455,3.5584830501464872,1.7097966728280962,5.360443622920518
1,6.46,3.574625920480199,1.732902033271719,5.360443622920518
1,6.465,3.5914690952695647,1.732902033271719,5.383548983364141
1,6.47,3.610116501047483,1.756007393715342,5.406654343807763
1,6.475,3.622805361217192,1.7791127541589649,5.406654343807763
1,6.48,3.638704359650398,1.802218114602588,5.429759704251387
1,6.485,3.656485234237952,1.802218114602588,5.452865064695009
1,6.49,3.66753249469614,1.8253234750462108,5.452865064695009
1,6.495,3.684634143356361,1.8484288354898337,5.475970425138632
1,6.5,3.701742236827688,1.8253234750462108,5.545286506469501
1,6.505,3.7140162769495944,1.8715341959334566,5.499075785582256
1,6.51,3.7292472824727567,1.8946395563770795,5.522181146025878
1,6.515,3.7454849100328147,1.8946395563770795,5.545286506469501
1,6.52,3.7601803675548973,1.9177449168207026,5.545286506469501
1,6.525,3.775690771902917,1.9177449168207026,5.5683918669131245
1,6.53,3.7920942920195393,1.9408502772643255,5.591497227356747
1,6.535,3.8089031020243653,1.9408502772643255,5.591497227356747
1,6.54,3.8220566453284306,1.9408502772643255,5.61460258780037
1,6.545,3.836325330717278,1.9408502772643255,5.6377079482439925
1,6.55,3.849798263846436,1.9408502772643255,5.6377079482439925
1,6.555,3.862967445006382,1.9408502772643255,5.660813308687616
1,6.56,3.876830717770249,1.9408502772643255,5.683918669131239
1,6.565,3.8899260954440824,1.9408502772643255,5.683918669131239
1,6.57,3.9048885481397546,1.9408502772643255,5.707024029574861
1,6.575,3.919971008307452,1.9408502772643255,5.730129390018485
1,6.58,3.934733858539352,1.9408502772643255,5.730129390018485
1,6.585,3.949087831318018,1.9408502772643255,5.7532347504621075
1,6.59,3.9783824989097876,2.1487985212569316,5.7532347504621075
1,6.595,3.9961594923689545,2.1487985212569316,5.77634011090573
1,6.6,4.013302650952186,2.1719038817005547,5.799445471349354
1,6.605,4.026656461972417,2.1950092421441774,5.822550831792976
1,6.61,4.044681836617853,2.2181146025878005,5.822550831792976
1,6.615,4.062174170309486,2.2181146025878005,5.845656192236599
1,6.62,4.0788380133160755,2.2412199630314236,5.868761552680222
1,6.625,4.093189288491034,2.2643253234750462,5.868761552680222
1,6.63,4.1115508039961055,2.2874306839186693,5.891866913123845
1,6.635,4.128759725092738,2.2874306839186693,5.914972273567468
1,6.64,4.141717389500927,2.310536044362292,5.914972273567468
1,6.645,4.160688402918646,2.333641404805915,5.938077634011091
1,6.65,4.178901861419756,2.356746765249538,5.961182994454714
1,6.655,4.195829605156198,2.356746765249538,5.984288354898337
1,6.66,4.209180113927833,2.379852125693161,5.984288354898337
1,6.665,4.22821443872944,2.402957486136784,6.007393715341959
1,6.67,4.24394491774875,2.4260628465804066,6.030499075785582
1,6.675,4.258787506285518,2.4260628465804066,6.030499075785582
1,6.68,4.276329357776746,2.4491682070240297,6.053604436229206
1,6.685,4.2945753325241185,2.472273567467653,6.076709796672828
1,6.69,4.312037380431707,2.472273567467653,6.099815157116451
1,6.695,4.324992173360247,2.4953789279112755,6.099815157116451
1,6.7,4.342765466048473,2.5184842883548986,6.1229205175600745
1,6.705,4.360170319280097,2.5184842883548986,6.146025878003697
1,6.71,4.375134483153889,2.5415896487985212,6.16913123844732
1,6.715,4.392096964367552,2.5646950092421443,6.16913123844732
1,6.72,4.410159365561768,2.587800369685767,6.192236598890943
1,6.725,4.426831858085485,2.587800369685767,6.215341959334566
1,6.73,4.440360387123813,2.61090573012939,6.215341959334566
1,6.735,4.458821218208386,2.634011090573013,6.238447319778189
1,6.74,4.477016451956562,2.657116451016636,6.261552680221811
1,6.745,4.489426382499592,2.657116451016636,6.261552680221811
1,6.75,4.508029316892968,2.680221811460259,6.284658040665435
1,6.755,4.524946731802138,2.7033271719038816,6.3077634011090575
1,6.76,4.541589838147921,2.7033271719038816,6.33086876155268
1,6.765,4.556261741758457,2.7264325323475047,6.33086876155268
1,6.77,4.573851183795796,2.749537892791128,6.353974121996304
1,6.775,4.590139447683066,2.7726432532347505,6.377079482439926
1,6.78,4.6044989588047205,2.7726432532347505,6.377079482439926
1,6.785,4.6231821759400935,2.7957486136783736,6.400184842883549
1,6.79,4.637173275412922,2.8188539741219962,6.423290203327173
1,6.795,4.652379757509148,2.8188539741219962,6.446395563770795
1,6.8,4.669665299629461,2.8419593345656193,6.446395563770795
1,6.805,4.687306446788579,2.8650646950092424,6.469500924214418
1,6.81,4.701399500561718,2.8650646950092424,6.492606284658041
1,6.815,4.716542587999142,2.888170055452865,6.492606284658041
1,6.82,4.735073023649053,2.911275415896488,6.515711645101664
1,6.825,4.752095527040458,2.911275415896488,6.538817005545287
1,6.83,4.765231015525778,2.934380776340111,6.538817005545287
1,6.835,4.781835152752085,2.957486136783734,6.561922365988909
1,6.84,4.799355311468352,2.957486136783734,6.585027726432533
1,6.845,4.812695660198275,2.980591497227357,6.585027726432533
1,6.85,4.83052492795477,3.0036968576709797,6.608133086876156
1,6.855,4.84640734653386,3.026802218114603,6.631238447319778
1,6.86,4.861906294775926,3.026802218114603,6.654343807763402
1,6.865,4.877275865073828,3.0499075785582255,6.654343807763402
1,6.87,4.893355019284767,3.0730129390018486,6.6774491682070245
1,6.875,4.908888858122092,3.0730129390018486,6.700554528650647
1,6.88,4.92342428781614,3.0961182994454717,6.700554528650647
1,6.885,4.939705300151004,3.1192236598890943,6.72365988909427
1,6.89,4.955022145056609,3.1192236598890943,6.72365988909427
1,6.895,4.969430510040314,3.1423290203327174,6.746765249537893
1,6.9,4.985448670429908,3.1423290203327174,6.769870609981516
1,6.905,5.000584436374322,3.16543438077634,6.792975970425139
1,6.91,5.015420282376571,3.188539741219963,6.792975970425139
1,6.915,5.030498609163489,3.188539741219963,6.816081330868762
1,6.92,5.0453985152881655,3.2116451016635863,6.839186691312385
1,6.925,5.061471681683211,3.234750462107209,6.839186691312385
1,6.93,5.076993148773966,3.234750462107209,6.8622920517560075
1,6.935,5.092110548580866,3.257855822550832,6.88539741219963
1,6.94,5.106763358953104,3.2809611829944547,6.88539741219963
1,6.945,5.123714768855878,3.2809611829944547,6.908502772643254
1,6.95,5.138478845011401,3.304066543438078,6.931608133086876
1,6.955,5.153552054372453,3.327171903881701,6.931608133086876
1,6.96,5.168659358197463,3.327171903881701,6.954713493530499
1,6.965,5.181730032097657,3.3502772643253236,6.977818853974123
1,6.97,5.197297155705654,3.3733826247689467,6.977818853974123
1,6.975,5.210800944257015,3.3733826247689467,7.000924214417745
1,6.98,5.224556561115632,3.3964879852125693,7.000924214417745
1,6.985,5.2391948450331665,3.3964879852125693,7.024029574861368
